condition,remedy_name,ingredients,steps,evidence_level,contraindications,age_min,notes,red_flags,references,,,,,,,,,,
sore throat,Warm salt water gargle,1/2 tsp salt; 250 ml warm water,Dissolve salt; gargle 20–30 sec; repeat 2–3×/day.,tradition,Mouth ulcers causing severe pain; very young children (risk of swallowing).,6,Hydration; honey >1 year old only.,>=38.5°C fever >3 days; drooling; severe pain; rash; breathing trouble,credible health orgs,,,,,,,,,,
sore throat,Honey-ginger tea,1 tsp honey; 1/2 tsp grated ginger; 200 ml warm water,Steep ginger 5–7 min; strain; stir in honey; sip warm.,some,Infants <1 year (honey).,1,Soothes throat and cough.,High fever >3 days; severe one-sided throat pain; inability to swallow; breathing trouble,credible health orgs,,,,,,,,,,
sore throat,Turmeric milk,1/2 tsp turmeric; 200 ml warm milk,Stir turmeric into warm milk; drink at night.,tradition,Milk allergy; lactose intolerance.,5,May help throat comfort.,High fever; drooling; neck stiffness; rash,credible health orgs,,,,,,,,,,
dry cough,Honey in warm water,1 tsp honey; 150–200 ml warm water,Stir and sip slowly.,some,Infants <1 year (risk of botulism).,1,Avoid very hot water.,Persistent >3 weeks; blood in cough; chest pain; difficulty breathing,credible health orgs,,,,,,,,,,
dry cough,Steam inhalation,Bowl of hot water; towel,Lean over bowl; inhale steam 5–10 min; repeat 2×/day.,tradition,Small children (burn risk); asthma (stop if worse).,6,Add a few drops of plain saline if available; avoid essential oils for kids.,High fever; wheeze not improving; bluish lips; confusion,credible health orgs,,,,,,,,,,
dry cough,Throat lozenge (sugar-free),1 lozenge,Dissolve slowly in mouth; follow label; max 8/day.,some,Children <6 (choking risk).,6,Sugar-free if diabetic.,Cough >3 weeks; weight loss; night sweats,credible health orgs,,,,,,,,,,
wet cough,Warm fluids,Herbal tea or warm water 200–300 ml,Sip frequently through the day.,tradition,Fluid restriction by doctor (heart/kidney disease).,1,Helps thin mucus.,Shortness of breath; high fever; chest pain,credible health orgs,,,,,,,,,,
wet cough,Humidifier use,Cool-mist humidifier; clean water,Run in room; clean daily.,some,Mold sensitivity; poorly cleaned devices.,1,Keep humidity 40–50%.,Worsening wheeze; persistent fever; coughing blood,credible health orgs,,,,,,,,,,
nasal congestion,Saline nasal rinse,Isotonic saline 0.9%; neti pot/squeeze bottle,Rinse each nostril 2–3×/day with distilled/boiled-cooled water.,some,Ear infection; complete blockage; children <5 need supervision.,5,Use sterile/distilled or boiled-cooled water only.,Severe headache; facial swelling; high fever; ear pain,credible health orgs,,,,,,,,,,
nasal congestion,Steam shower,Hot shower; closed bathroom,Run hot water to create steam; inhale 10 min.,tradition,Heat intolerance; small children (burn risk).,6,Hydrate after.,Severe facial pain; swelling around eyes; fever >3 days,credible health orgs,,,,,,,,,,
